Profit and Loss - Compare YTD for 3 years,,,
Spirit of Math Schools Markham East,,,
"August 1, 2025-April 2, 2026",,,

,Total,,
,Aug. 1 2025 - Apr. 2 2026,Aug. 1 2024 - Apr. 2 2025 (PY YTD),Aug. 1 2023 - Apr. 2 2024 (custom)
Income,,,
4100 Tuition,"3,176,492.61","2,817,674.21","2,595,248.99"
4900 Interest Income,"20,863.96","9,544.31",
4920 Refunds,,,
4921 Tuition Refunds,"-26,299.62","-27,769.50","-12,622.02"
Total for 4920 Refunds,"-$26,299.62","-$27,769.50","-$12,622.02"
4220 Investment Income,,,"2,693.15"
Total for Income,"$3,171,056.95","$2,799,449.02","$2,585,320.12"
Cost of Goods Sold,,,
5200 Payroll Expanse,,"158,716.07",
5211 Wages,"768,198.01","563,163.49","708,340.51"
5212 CPP Expense,"85,061.60","83,501.48","76,992.68"
5213 EI Expense,"22,566.33","20,590.83","20,261.37"
5214 EHT Expense,"10,944.25","4,684.67","6,304.09"
5217 WSIB Expense,"2,665.07","4,668.85","2,019.42"
5219 FED.TAX,"217,943.50","139,750.60","126,207.82"
5215 Employee Benefits,,"7,262.73","13,237.23"
Total for 5200 Payroll Expanse,"$1,107,378.76","$982,338.72","$953,363.12"
5300 Teacher and CAA training,"5,911.38","4,677.13","1,064.31"
5600 Campus Rent,,,
5606 #5 - 9293 Markham Road,"116,890.10","97,430.30","85,833.93"
Total for 5600 Campus Rent,"$116,890.10","$97,430.30","$85,833.93"
5710 Royalty fee,"289,628.09","259,460.53","-1,249.72"
5780 Student Handouts,"139,252.59","66,903.85","91,374.91"
5785 Teaching Supplies,"6,999.66","7,443.67","1,729.93"
5786 Non-SoM Contests,"2,747.50","1,449.00","1,173.07"
5787 SoM Contests,"2,086.20",,"1,130.02"
5100 Materials and Supplies,,"50,348.22","1,219.13"
5410 Subcontract,,150.00,
Total for Cost of Goods Sold,"$1,670,894.28","$1,470,201.42","$1,135,638.70"
Gross Profit,"$1,500,162.67","$1,329,247.60","$1,449,681.42"
Expenses,,,
6110 Professional Fees,,576.30,
6111 Ceridian,"2,442.72","2,549.84","2,113.44"
6112 Security Services,576.30,468.95,
6116 Accounting Fees,"11,446.90","5,559.60","12,780.30"
6115 Legal Expense,,,"2,214.50"
6119 HR Profiles/Recruitment,,400.64,212.25
Total for 6110 Professional Fees,"$14,465.92","$9,555.33","$17,320.49"
6200 Marketing/Advertising/Promotion,440.72,"-6,908.25","8,927.01"
62010 Marketing Wages,"24,000.00",,
6201.1 FTC,"4,431.02","23,181.61","21,824.07"
6201 Marketing Material,"1,481.54","5,029.01","3,687.84"
6202 Space Rental,"5,919.46",300.00,
6203 Mailing,75.72,,234.01
6205 Public Sign,"20,146.02","26,731.11","12,652.03"
6206 Print Media,307.12,,"2,792.47"
6208 Online,"15,582.10","2,680.54",
6204 Mobile Sign,,431.00,"1,922.78"
6209 Event Sponsorship,,,"1,125.00"
Total for 6200 Marketing/Advertising/Promotion,"$72,383.70","$51,445.02","$53,165.21"
6230 Competition Expanse,500.00,,
6260 Donations,"1,950.85","5,420.50",975.00
6300 Automobile costs,307.95,569.17,"1,476.12"
6302 Car fuel,95.94,271.57,269.60
6305 Car Repair & Maintence,"3,876.55","4,003.08","1,513.52"
6304 Parking,,0.00,
6306 Car travel allowance,,450.00,
6308 Car Other,,113.23,
Total for 6300 Automobile costs,"$4,280.44","$5,407.05","$3,259.24"
6401 Office/Campus Expenses,"3,958.51","5,784.35","2,117.44"
6401.10 Misc. Expanses,"1,977.30",106.93,557.01
6401.11 SMS Supplies - Student,"6,684.29","2,178.69",45.66
6401.1 Campus Supplies,18.01,324.51,446.78
6401.20 Campus Cleaning Supplies,183.33,,
Total for 6401.1 Campus Supplies,$201.34,$324.51,$446.78
6401.2 Printer & Supplies,384.64,"9,481.55","2,562.32"
6401.3 Office Supplies,135.59,"2,881.75","2,441.93"
6401.12 SMS Supplies - Campus,,154.50,"3,276.14"
6401.13 Campus Equipment,,,-371.07
6401.5 Printing,,,600.00
6401.6 Courier/ Postage,,50.00,
Total for 6401 Office/Campus Expenses,"$13,341.67","$20,962.28","$11,676.21"
6405 IT Expense,"95,238.60","95,625.58","153,904.34"
6405.6 SoM IT Charges,53.99,,
6406 Software Expense,502.84,532.65,333.34
6405.1 Hardware,,"1,266.00",547.86
Total for 6405 IT Expense,"$95,795.43","$97,424.23","$154,785.54"
6409 SMS Conference,"5,797.56","7,119.00","5,616.91"
6420 Finance charges,,260.25,"38,018.80"
6421 Bank charges,"3,794.86","1,208.57","-2,438.50"
6423 Interest expense - bank,134.31,,16.50
6425 CC charges,274.49,253.83,388.04
6427 FirstData - Merchant Services,"21,991.17","28,819.32","19,436.70"
6426 Interest expense - CC,,0.82,3.80
Total for 6420 Finance charges,"$26,194.83","$30,542.79","$55,425.34"
6600 Insurance,"20,758.70","12,112.63","1,660.72"
6602 Cleaning Service,"5,565.25","6,462.03","5,998.43"
6603 Floor Mats Service,"1,272.79",547.65,862.59
6615 Events Expense,"4,074.55","3,263.76","2,288.96"
6630 Office Photocopying Expense,566.14,331.64,"1,209.43"
6650 Meals & entertainment,258.37,,
6710 Utilities,"3,419.11","3,436.11","3,333.65"
6715 Repairs and maintenance,"2,688.96","23,230.91","4,482.33"
8500 Taxes Paid,"36,262.97",,
6370 Business & Admin training expense   ,,,560.17
6550 Fees and licences,,,71.72
6601 Security Services,,169.50,"2,850.31"
6645 Courier / Postage,,,768.87
6700 Business Phone,,170.54,"1,765.50"
