Profit and Loss - Aug 2022 to July 2025,
Spirit of Math Schools Vaughan,
"August 1, 2022-July 31, 2025",

,Total
Income,
4100 Tuition,"5,866,752.24"
4104 Registration Fee,-360.00
4110 Other income - CEBA,"19,934.34"
4110.1 Canada Carbon Rebate,"22,624.66"
Total for 4110 Other income - CEBA,"$42,559.00"
4223 Services,363.52
4900 Interest Income,65.66
4930 Competitions/Contests,-784.67
8025 Investment income,"2,719.38"
Total for Income,"$5,911,315.13"
Cost of Goods Sold,
5000 Cost of Goods Sold,
5001 Student Graduation,"2,174.60"
Total for 5000 Cost of Goods Sold,"$2,174.60"
5100 Materials and Supplies,"44,768.93"
5200 .Payroll Expense,
5211 Wages,"1,557,762.21"
5211.1 Teachers,"2,153.34"
Total for 5211 Wages,"$1,559,915.55"
5212 CPP Expense,"180,597.84"
5213 EI Expense,"72,399.37"
5215 Employee Benefits,"39,903.55"
5217 WSIB Expense,"6,420.62"
5219 FED.TAX,"225,248.48"
Total for 5200 .Payroll Expense,"$2,084,485.41"
5300 Teacher and CAA training,"20,124.08"
5300.1 SMS Conference,"16,582.54"
5300.2 (e)Books,"3,150.66"
5300.3 Online Training,"3,717.80"
5300.4 Education,"7,398.01"
5875 Teacher training,"13,060.28"
Total for 5300 Teacher and CAA training,"$64,033.37"
5410 Subcontract,"8,326.68"
5500 Credit Card Fees,69.50
5500.1 FirstData-Merchant Services,"114,570.88"
5500.3 CC charges,585.79
Total for 5500 Credit Card Fees,"$115,226.17"
5600 Rent,"10,092.08"
"5605 9135 Keele Street, Unit B3/B4","353,295.82"
Total for 5600 Rent,"$363,387.90"
5710 Royalty fee,"180,534.22"
5710.1 Royalty fee - Online,"89,643.91"
5710.2 Royalty fee - Inperson,"557,406.00"
5710.3 Royalty Fee (2024-25) - In-person,"6,284.44"
Total for 5710 Royalty fee,"$833,868.57"
5780 Student Handouts,"195,581.64"
"5780.1 Shipping, Freight and Delivery - COS","2,303.70"
Total for 5780 Student Handouts,"$197,885.34"
5785 Teaching Supplies,"16,068.24"
Total for Cost of Goods Sold,"$3,730,225.21"
Gross Profit,"$2,181,089.92"
Expenses,
5411 Tuition Refunds,"92,107.27"
6110 Professional Fees,"6,335.03"
6114 Payroll Processing (Ceridian),"6,448.41"
6115 Legal Expense,"10,836.39"
6116 Accounting Fees,"25,494.30"
6117 Bookkeeping Fees,572.93
6119 HR Profiles/Recruitment,"3,753.20"
6120 Cleaning Service,"36,977.95"
Total for 6110 Professional Fees,"$90,418.21"
6200 Marketing/Advertising/Promotion,"37,373.55"
6201.1 Marketing Wages,"10,000.00"
6201.2 FTC,"74,201.74"
6201 Marketing Material,"9,365.80"
6202 Space Rental,244.91
6203 Mailing,868.39
6204 Mobile Sign,237.30
6205 Kiosk Rental,"5,000.00"
6206 Event Sponsorship,"13,365.70"
6207 Online Ads,"10,566.86"
6208 Print Media,719.36
6209 Billboard Rental,"14,528.75"
6210 Community Advertisement,"14,238.00"
Total for 6200 Marketing/Advertising/Promotion,"$190,710.36"
6230 Non-SMS Competition Expense,"5,827.54"
6250 Amortization/Depreciation expense ,"146,882.00"
6255 Amortization of franchise fee,"3,839.00"
6260 Donations,"54,681.71"
6300 Automobile costs,"43,970.71"
6302 Car fuel,"3,761.98"
6304 Car Parking,40.50
6305 Car Repair & Maintence,"8,135.75"
6306 Car travel allowance (deleted),115.91
6309 Other Travel Cost,251.45
Total for 6300 Automobile costs,"$56,276.30"
6401 Office/Campus Expenses,"-6,700.89"
6401.10 Misc. Expanses,"6,645.47"
6401.11 SMS Supplies - Student,"31,267.46"
6401.12 SMS Supplies - Campus,"5,215.96"
6401.13 Campus Equipment,"3,794.30"
6401.14 Event,46.69
6401.15 Gifts,"12,085.62"
6401.1 Campus Supplies,"8,121.49"
6401.2 Printer Supplies,"23,761.77"
6401.3 Office Supplies,443.70
6401.4 Office Equipments,"1,068.08"
6401.5 Photocopying,"6,657.90"
6401.6 Courier/ Postage,385.27
6401.8 Teaching Supplies,"4,686.82"
6401.9 Competitions,
6401.92 Non-SMS Competitions,409.96
Total for 6401.9 Competitions,$409.96
Total for 6401 Office/Campus Expenses,"$97,889.60"
6405 IT Expense,"314,831.08"
6405.1 Hardware,"31,320.82"
6405.5 Computer Expense - Other,914.89
6405.9 Monthly service fee,839.09
6406 Software Expense,"4,316.58"
6407 IT Communications,28.92
6408 Cell phone,"1,440.64"
Total for 6405 IT Expense,"$353,692.02"
6420 Finance charges,597.93
6420.1 Bank charges,"3,606.64"
6420.2 Interest expense - bank,"4,775.23"
Total for 6420 Finance charges,"$8,979.80"
6550 Fees and licences,"22,811.00"
6600 Insurance,"9,206.99"
6615 Events Expense,"19,916.01"
6650 Meals & entertainment,"2,309.27"
6690 Office @ home,"16,910.28"
6700 Business Phone,"30,290.75"
6701 Health & Safety,52.24
6710 Utilities,"18,080.68"
6711 Security Services,"8,082.99"
6715 Repairs and maintenance,"66,413.82"
"6720 Travel Expense (meetings, etc.)","1,700.54"
6935 Corporate Tax Expense,"151,779.00"
69800 Uncategorized Expenses (deleted),340.00
8010 Investment Management Fees,"40,849.11"
8045 Foreign Taxes,"2,609.68"
Uncategorized Expense,154.88
Total for Expenses,"$1,492,811.05"
Other Income,
8000 Gain/loss on sale of investments,"47,466.92"
8005 Dividend income,"14,563.30"
8026 Capital gain,"44,146.57"
8030 Interest earned,"1,174.32"
8040 Other Investment Income,"15,840.84"
Total for Other Income,"$123,191.95"
Profit,"$811,470.82"



"Accrual Basis Friday, April 10, 2026 12:48 AM GMTZ",
